year,barley_tonnes,maize_tonnes,rice_paddy_tonnes,rice_paddy_rice_milled_equivalent__tonnes,rye_tonnes,sorghum_tonnes,wheat_tonnes
1961,132910,1617130,1142000,761714,,681000,1435926
1962,146296,2003690,2038000,1359346,,658849,1593098
1963,134362,1867000,2219000,1480073,,729000,1493000
1964,142174,1934212,2036000,1358012,,739640,1499881
1965,129606,2141000,1789000,1193263,,806000,1272000
1966,102070,2376000,1678000,1119226,,859078,1465000
1967,114000,2167000,2278000,1519426,,880727,1299000
1968,126000,2300000,2591000,1728197,,907000,1526000
1969,117000,2368000,2561000,1708187,,813015,1277000
1970,84000,2397000,2604000,1736868,,874000,1519000
1971,77000,2344000,2533690,1689971,,853603,1732000
1972,109000,2421000,2507000,1672169,,831000,1618000
1973,96746,2508031,2275000,1517425,,852736,1938112
1974,88753,2641307,2241688,1495206,,824642,1886000
1975,118169,2780519,2423446,1616438,,774882,2033265
1976,123197,3047000,2300032,1534121,,759000,1960000
1977,111905,2724844,2272309,1515630,,648721,1697000
1978,133201,3117045,2351000,1568117,,681000,1933000
1979,122386,2938208,2511000,1674837,,635890,1856000
1980,106961,3231075,2382100,1588861,,643000,1736440
1981,103320,3307640,2236362,1491653,,653100,1938327
1982,120796,3347293,2440513,1627822,,596263,2016992
1983,131679,3509000,2442000,1628814,,621000,1996000
1984,144552,3698000,2236436,1491703,,561000,1815176
1985,145000,3686000,2311300,1541637,,547000,1872000
1986,167000,3608000,2445000,1630815,,606000,1928000
1987,148000,3619000,2406000,1604802,,551000,2721000
1988,120000,4088000,2132000,1422044,,586000,2838000
1989,138000,4529470,2679000,1786893,16000,586016,3182000
1990,142000,4798635,3167421,2112670,16500,629638,4268049
1991,121000,5121709,3447812,2299691,15000,676321,4482523
1992,234000,5069000,3909706,2607774,15000,765568,4617997
1993,132867,5039080,4160762,2775228,17500,779433,4832598
1994,129441,5112000,4583007,3056866,19000,731237,4437055
1995,368297,4535175,4788097,3193661,22000,661242,5722441
1996,119522,5165338,4895388,3265224,23000,603558,5735367
1997,125575,5806070,5480010,3655167,24000,786537,5849134
1998,148021,6336802,4474110,2984231,25000,887310,6093151
1999,114359,6143360,5816960,3879912,25000,954246,6346642
2000,99392,6474450,6000490,4002327,26000,941188,6564053
2001,93905,6093578,5226703,3486211,30000,862296,6254583
2002,100797,6430962,6105456,4072339,30000,902246,6624868
2003,141447,6530427,6176266,4119569,30000,959096,6844692
2004,163080,6236140,6352370,4237031,30000,863716,7177855
2005,167020,7085190,6125300,4085575,52000,853000,8140960
2006,152900,6374300,6755000,4505585,75000,887000,8274230
2007,178344,6243220,6876830,4586846,78000,843840,7379000
2008,149238,7401412,7253373,4838000,95000,866948,7977051
2009,148415,7686091,5520482,3682161,98000,780946,8522995
2010,117113,7041099,4329503,2887779,98000,701629,7177399
2011,122294,6876473,5675027,3785243,94110,839195,8407126
2012,108495,8093646,5911086,3942694,90000,757035,8795483
2013,131890,7956593,5724106,3817979,89000,761627,9460200
2014,102244,8059906,5467392,3646750,90016,804051,8800000
2015,100670,7803183,4817964,3213582,91431,720291,9607736
2016,99751,7817640,5308873,3541018,94753,723791,9342538
2017,97666,8542635,4960662,3308762,92135,807377,8421071
2018,82406,5111236,3123708,2083513,92596,804851,8348629
2019,100436,7450000,6690000,4462230,93030,792044,9000000
