year,land_area_equipped_for_irrigation_ha
1961,2568
1962,2505
1963,2490
1964,2506
1965,2672
1966,2780
1967,2801
1968,2801
1969,2835
1970,2843
1971,2852
1972,2855
1973,2855
1974,2843
1975,2825
1976,2730
1977,2635
1978,2540
1979,2447
1980,2445
1981,2468
1982,2445
1983,2434
1984,2458
1985,2497
1986,2567
1987,2547
1988,2581
1989,2571
1990,2648
1991,2643
1992,2945
1993,3000
1994,3000
1995,3283
1996,3176
1997,3244
1998,3259
1999,3289
2000,3291
2001,3338
2002,3422
2003,3402
2004,3471
2005,3516
2006,3526
2007,3531
2008,3535
2009,3682
2010,3664
2011,3613
2012,3696
2013,3724
2014,3708
2015,3782
2016,3726
2017,3823
2018,3823
=======,
year,land_area_equipped_for_irrigation_ha
1961,2568
1962,2505
1963,2490
1964,2506
1965,2672
1966,2780
1967,2801
1968,2801
1969,2835
1970,2843
1971,2852
1972,2855
1973,2855
1974,2843
1975,2825
1976,2730
1977,2635
1978,2540
1979,2447
1980,2445
1981,2468
1982,2445
1983,2434
1984,2458
1985,2497
1986,2567
1987,2547
1988,2581
1989,2571
1990,2648
1991,2643
1992,2945
1993,3000
1994,3000
1995,3283
1996,3176
1997,3244
1998,3259
1999,3289
2000,3291
2001,3338
2002,3422
2003,3402
2004,3471
2005,3516
2006,3526
2007,3531
2008,3535
2009,3682
2010,3664
2011,3613
2012,3696
2013,3724
2014,3708
2015,3782
2016,3726
2017,3823
2018,3823
>>>>>>> b4d4f18e7df457297304f7a2e2064973c20c33a0,
