Year,Tree-covered areas,Herbaceous crops,Shrubs/herbaceous vegetation,Artificial surfaces,Terrestrial barren land,Permanent snow and glaciers,Coastal water+intertidal areas,Grassland,Woody crops,Mangroves,Inland water bodies,Multiple or layered crops,Shrub-covered areas,Sparsely natural vegetated areas
1992,254.0906,3442.1301,1121.0692,78.6708,90792.8622,0,0,254.6168,501.4574,2.0539,811.1913,0,337.3527,1212.9816
1993,254.3002,3458.3438,1121.0537,79.9263,90792.5545,0,0,254.7428,484.6783,2.0384,811.1758,0,337.1795,1212.5088
1994,254.5083,3456.5728,1121.0072,81.24,90792.2545,0,0,254.8711,485.8149,2.0384,811.1293,0,337.0009,1212.036
1995,256.2231,3416.409,1111.1409,82.7339,90772.0032,0,0,256.5169,565.1568,2.0539,802.9449,0,336.9675,1206.3472
1996,256.8517,3404.2291,1109.0638,84.5475,90766.7,0,0,257.052,585.2773,2.1236,798.9767,0,337.6751,1205.9829
1997,257.8724,3425.299,1108.1647,86.7855,90755.0093,0,0,257.9243,574.392,2.1236,797.7908,0,338.3258,1204.8359
1998,258.9862,3431.2291,1105.5063,91.2497,90750.3248,0,0,258.7381,572.3587,2.1469,795.1635,0,338.6552,1204.0841
1999,260.0615,3449.5797,1104.0182,94.0573,90678.286,0,0,259.6283,563.4083,2.1391,854.214,0,339.417,1203.6578
2000,261.8569,3432.792,1103.4369,97.0684,90647.0163,0,0,261.2253,600.5241,2.1391,859.306,0,340.3622,1202.7665
2001,437.3053,6145.9408,1127.8195,452.6537,184421.744,0,0,602.9697,576.2918,11.6449,1996.5235,0,624.9077,1195.4966
2002,441.1377,6151.7789,1127.4338,461.7406,184404.7723,0,0,609.0074,575.3319,10.4118,1986.0637,0,630.1742,1194.1945
2003,444.3306,6136.8321,1127.0439,471.4173,184430.0042,0,0,623.3361,596.297,9.1066,1931.6085,0,639.8389,1191.6756
2004,448.7048,6163.9809,1127.1518,482.7948,184422.5941,0,0,642.4685,599.8577,8.6249,1875.6196,0,646.1974,1187.2889
2005,450.6896,5663.664,1129.5754,493.7733,184417.9065,0,0,665.3431,1108.6474,8.3947,1830.4724,0,646.5442,1185.731
2006,450.9037,5712.8837,1130.9945,504.6624,184409.0444,0,0,691.7536,1068.0661,7.4132,1793.9688,0,642.0449,1185.1188
2007,453.2659,5692.3888,1129.8349,516.4553,184336.7651,0,0,722.024,1126.9824,6.9332,1788.1094,0,640.291,1184.4445
2008,453.2138,5800.4619,1129.7651,525.5465,184298.63,0,0,747.7261,1042.5327,6.5897,1779.1408,0,634.2362,1183.9407
2009,453.1972,5967.9712,1129.8344,535.7911,184259.3539,0,0,779.3209,897.5009,6.1312,1761.0146,0,633.0862,1183.5299
2010,457.0242,5982.8283,1130.5082,546.5737,184220.1179,0,0,808.6967,895.3324,5.3585,1737.2893,0,637.0178,1183.5377
2011,456.9838,5974.739,1131.383,554.6683,184153.3871,0,0,844.9457,925.9113,4.3925,1730.1937,0,639.6503,1183.1889
2012,455.4219,5956.579,1131.0326,564.5436,184073.7739,0,0,885.4441,971.5599,4.2089,1719.223,0,643.6504,1182.8711
2013,456.161,5800.3937,1130.0675,578.0968,184013.0652,0,0,925.4143,1135.0451,4.2089,1712.684,0,649.9595,1182.8711
2014,458.1136,5739.2352,1127.5605,592.251,183950.5254,0,0,944.6873,1196.7671,4.4724,1727.4411,0,656.6431,1182.6929
2015,459.1294,5924.2587,1127.6643,602.77,183931.0564,0,0,949.6206,1007.0248,4.529,1727.4417,0,663.6236,1182.6696
2016,455.5864,5884.6865,1127.3698,616.173,183914.827,0,0,952.4968,1045.8763,4.6286,1730.7557,0,667.422,1182.0651
2017,451.0868,5896.5832,1127.9416,629.8364,183877.6818,0,0,960.0293,1045.6152,4.176,1728.2719,0,690.8993,1180.3987
2018,448.3375,5918.2922,1128.0936,641.9826,183813.2751,0,0,1003.4529,1049.7157,3.6394,1729.4752,0,679.2514,1179.9492
