Year,Rainfall(MM),MinTemp(C),MaxTemp(C)
1991,3.8416666666666672,15.083333333333334,29.733333333333334
1992,2.983333333333334,14.541666666666666,29.083333333333332
1993,3.633333333333333,15.291666666666666,29.874999999999996
1994,3.7083333333333335,15.325000000000001,29.95
1995,2.0749999999999997,15.125,29.991666666666664
1996,2.341666666666667,15.450000000000001,30.083333333333332
1997,2.9583333333333326,14.966666666666663,29.59166666666667
1998,3.1666666666666665,15.850000000000001,30.266666666666662
1999,2.041666666666667,15.775,30.400000000000002
2000,3.108333333333334,15.016666666666667,29.50833333333333
2001,2.075,15.733333333333334,30.308333333333337
2002,2.7833333333333337,15.949999999999998,30.325000000000003
2003,2.2416666666666667,15.783333333333331,30.108333333333334
2004,2.7083333333333335,15.691666666666668,30.124999999999996
2005,3.116666666666667,15.649999999999999,30.099999999999998
2006,2.275,15.624999999999998,30.183333333333326
2007,2.358333333333333,15.733333333333333,30.308333333333334
2008,2.4666666666666663,16.0,30.683333333333326
2009,1.8833333333333335,15.766666666666667,30.575
2010,1.9583333333333333,17.124999999999996,31.791666666666668
2011,2.3666666666666667,15.458333333333334,30.025000000000002
2012,2.491666666666667,16.083333333333332,30.71666666666667
2013,2.9333333333333336,15.908333333333337,30.683333333333334
2014,3.0,16.241666666666664,30.824999999999992
2015,2.9250000000000003,15.975000000000001,30.675
2016,2.391666666666666,16.45,31.0
2017,1.9416666666666667,15.808333333333332,30.566666666666663
2018,4.258333333333334,16.683333333333334,31.275000000000002
2019,3.2083333333333335,15.908333333333333,30.633333333333336
2020,3.233333333333333,15.85,30.383333333333336
