Governorate ,Surface Water - SW (MCM),Groundwater - GW (MCM)  ,Sea Water Desalination - SWD (MCM),Total (MCM),Area (KMS),Population (2015),Population Density (2015)
Alexandria,1056.3,0,0,1056.3,2300,4812186.00,2092.00 
Assiut,112.5,112.3,0,224.8,25926,4245215.00,164.00 
Aswan,116.3,2.8,0,119.1,62726,1431488.00,23.00 
Bani Souwaif,195.7,7.3,0,203,10954,2856812.00,261.00 
Cairo,2096.5,1.8,0,2098.3,3085,9278441.00,3008.00 
Dakahliya,463.9,64.8,0,528.7,3538,5949001.00,1681.00 
Damietta,188,0,0,188,910,1330843.00,1462.00 
El Beheira,471.7,16.7,0,488.4,9826,5804262.00,591.00 
Fayoum,249.1,0,0.04,249.14,6068,3170150.00,522.00 
Gharbya,196.8,139.2,0,336,1942,4751865.00,2447.00 
Giza,1165.5,69.4,0,1234.9,13184,7585115.00,575.00 
Ismailia,139.8,0,0,139.8,5067,1178641.00,233.00 
Kafr el-Sheikh,287.5,0,0,287.5,3467,3172753.00,915.00 
Kalyobiya,123.9,90.7,0,214.6,1124,5105972.00,4543.00 
Luxor,99.7,4.3,0,104,2409.68,1147058.00,476.00 
Matrouh,62.6,1.7,2,66.3,166563,447846.00,2.70 
Menia,228.5,59.2,0,287.7,32279,5156702.00,160.00 
Monofiya,174.6,151.6,0,326.2,2499,3941293.00,1577.00 
New Valley,0,46.5,0,46.5,440098,225416.00,0.50 
North Sinai,45.6,20.7,3.1,69.4,28992,434781.00,15.00 
Port Said,9.7,0,0,9.7,1345,666599.00,496.00 
Qena,187.1,15.5,0,202.6,10798,3045504.00,282.00 
Red Sea,35.5,0,5.4,40.9,119099,345775.00,2.90 
Sharqeia,299.8,71.7,0,371.5,4911,6485412.00,1321.00 
Sohag,155.8,114.9,0,270.7,11022,4603861.00,418.00 
South Sinai,12.7,0.7,11.1,24.5,31272,167426.00,5.40 
Suez,18.9,0,0,18.9,9002,622859.00,69.00 
total,8194,991.8,21.64,9207.44,1010407,87963276.00,NaN
