Governorate ,3166-2 Code,Surface Water - SW (MCM),Groundwater - GW (MCM)  ,Sea Water Desalination - SWD (MCM),Total (MCM),Area (KMS),Population (2015),Population Density (2015)
Alexandria,EG-ALX,1056.3,0,0,1056.3,2300,4812186,2092
Aswan,EG-ASN,116.3,2.8,0,119.1,62726,1431488,23
Asyut,EG-AST,112.5,112.3,0,224.8,25926,4245215,164
Beheira,EG-BH,471.7,16.7,0,488.4,9826,5804262,591
Beni Suef,EG-BNS,195.7,7.3,0,203,10954,2856812,261
Cairo,EG-C,2096.5,1.8,0,2098.3,3085,9278441,3008
Dakahlia,EG-DK,463.9,64.8,0,528.7,3538,5949001,1681
Damietta,EG-DT,188,0,0,188,910,1330843,1462
Faiyum,EG-FYM,249.1,0,0.04,249.14,6068,3170150,522
Gharbia,EG-GH,196.8,139.2,0,336,1942,4751865,2447
Giza,EG-GZ,1165.5,69.4,0,1234.9,13184,7585115,575
Ismailia,EG-IS,139.8,0,0,139.8,5067,1178641,233
Kafr El Sheikh,EG-KFS,287.5,0,0,287.5,3467,3172753,915
Luxor,EG-LX*,99.7,4.3,0,104,2409.68,1147058,476
Matruh,EG-MT,62.6,1.7,2,66.3,166563,447846,2.7
Minya,EG-MN,228.5,59.2,0,287.7,32279,5156702,160
Monufia,EG-MNF,174.6,151.6,0,326.2,2499,3941293,1577
New Valley,EG-WAD,0,46.5,0,46.5,440098,225416,0.5
North Sinai,EG-SIN,45.6,20.7,3.1,69.4,28992,434781,15
Port Said,EG-PTS,9.7,0,0,9.7,1345,666599,496
Qalyubia,EG-KB,123.9,90.7,0,214.6,1124,5105972,4543
Qena,EG-KN,187.1,15.5,0,202.6,10798,3045504,282
Red Sea,EG-BA*,35.5,0,5.4,40.9,119099,345775,2.9
Sharqia,EG-SHR,299.8,71.7,0,371.5,4911,6485412,1321
Sohag,EG-SHG,155.8,114.9,0,270.7,11022,4603861,418
South Sinai,EG-JS*,12.7,0.7,11.1,24.5,31272,167426,5.4
Suez,EG-SUZ,18.9,0,0,18.9,9002,622859,69
Total,NaN,8194,991.8,21.64,9207.44,1010407,87963276,NaN
